affiliation	lon	lat	city
National Statistics Center, Tokyo, Japan	139.29477	34.22558	Japan
VRVis Research Center, Vienna, Austria	16.37122	48.22021	Austria
Virginia Tech, Blacksburg, Virginia, USA	-80.41813	37.25149	BLACKSBURG
National Chiao Tung University, Hsinchu, Taiwan	120.98082	24.79548	Hsinchu
The University of Tokyo, Tokyo, Japan / Preferred Networks, Inc., Tokyo, Japan	139.29477	34.22558	Japan
The University of Tokyo, Tokyo, Japan / RIKEN AIP, Tokyo, Japan	139.29477	34.22558	Japan
RIKEN Center for Advanced Intelligence Project (AIP	-94.18624	31.76719	Center
, Tokyo, Japan	139.29477	34.22558	Japan
Osaka University, Toyonaka, Japan	135.47138	34.7778	Osaka Prefecture
Department of International Business, National Chengchi University, Taiwan	121.60407	25.09817	Taiwan
Academia Sinica, Taipei, Taiwan, ROC	121.61698	25.04243	Taipei
Academinia Sinica, Taipei, Taiwan	121.52925	25.04246	Taipei
Chukyo University, Aichi, Japan	137.13253	34.85055	Japan
Hitotsubashi Univeristy, Kunitachi, Japan	139.79693	35.71053	Japan
Rice University, Houston, TX USA	-95.39862	29.76365	Houston
Digital Garage, Inc., Tokyo, Japan	139.29477	34.22558	Japan
Shizuoka University, Hamamatsu, Japan	138.55995	35.00922	Japan
Institute of Statistical Mathematics, Tokyo, Japan	139.29477	34.22558	Japan
Kyushu University, Hakata, Japan	130.28608	32.63316	Japan
Ankara University, Ankara, Turkey	32.84799	39.93459	Ankara
Afyon Kocatepe University, Afyon, Turkey	30.53626	38.81207	Afy
& ATR, Kyoto, Japan	135.77068	35.00497	Kyoto
INRIA-Saclay, Paris, France; University of Helsinki, Helsinki, Finland; RIKEN AIP, Kyoto, Japan	135.77068	35.00497	Kyoto
Oulu University Hospital, Oulu, Finland	25.53556	65.02397	Oulu
Advanced Telecommunications Research Institute International & RIKEN AIP, Kyoto, Japan	135.74115	34.99597	Kyoto
Department of Statistics, National Chiao Tung University, Taiwan	121.02598	22.83676	Taiwan
Doshisha University,Kyoto, Japan	135.77068	35.00497	Kyoto
School of Business Administration, Kwansei Gakuin University, Nishinomiya, JAPAN	139.79693	35.71053	Japan
Graduate School of Information Science and Technology, The University of Tokyo, Tokyo, JAPAN	139.29477	34.22558	Japan
National Chiao-Tung University , Institute of Statistics, Hsinchu, Taiwan	120.98082	24.79548	Hsinchu
Statistics, Data science and Epidemiology Department, Swinburne University of Technology, Hawthorn, VIC, Australia	145.0351	-37.825	HAWTHORN
Xiamen University, Xiamen, China	118.14191	24.50616	Xiamen
National Cheng Kung University, Tainan, Taiwan	120.2258	23.02513	Tainan
Department of Statistics, Feng Chia University, Taiwan	120.49133	23.42535	Taiwan
Erasmus University Rotterdam, Rotterdam, The Netherlands	4.48313	51.93082	Rotterdam
Tokyo University of Science, Tokyo, Japan	139.29477	34.22558	Japan
Oita University of Nursing and Health Sciences, 2944-9 Megusuno, Oita-shi, Oita 870-1201, Japan	131.68873	33.11227	Japan
Osaka Prefecture University, 1-1 Gakuen-cho, Naka-ku, Sakai-shi, Osaka 599-8531, Japan	135.49995	34.66145	Japan
Tokyo University of Science, 1-3 Kagurazaka, Shinjuku-ku, Tokyo 162-8601, Japan	139.73422	35.70389	Tokyo
Keio University, Yokohama, Japan	139.64268	35.44683	Yokohama
Kansai University, Suita, Japan	139.79693	35.71053	Japan
